basename	artwork_path	staged_pdf_recipe_or_pdf	bought	classes_present
CNX_Chem_04_04_limiting	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_04_limiting.pdf	pdf	1	persistent-gstate
CNX_Chem_04_04_saccharin_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_04_saccharin_img.pdf	pdf	0	persistent-gstate
CNX_Chem_04_04_sandwich	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_04_sandwich.pdf	pdf	1	persistent-gstate
CNX_Chem_04_05_combustion	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_05_combustion.pdf	pdf	1	persistent-gstate
CNX_Chem_04_05_propionate_img	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_04/Source_File/CNX_Chem_04_05_propionate_img.pdf	pdf	0	persistent-gstate
CNX_Chem_05_01_HeatTrans1	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_01_HeatTrans1.pdf	pdf	0	persistent-gstate
CNX_Chem_05_01_HotCold	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_01_HotCold.pdf	pdf	0	persistent-gstate
CNX_Chem_05_01_OxyacTorch	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_01_OxyacTorch.pdf	pdf	0	persistent-gstate
CNX_Chem_05_01_SolTherm1	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_01_SolTherm1.pdf	pdf	0	persistent-gstate
CNX_Chem_05_01_SolTherm2	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_01_SolTherm2.pdf	pdf	0	persistent-gstate
CNX_Chem_05_01_Thermochem	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_01_Thermochem.pdf	pdf	0	persistent-gstate
CNX_Chem_05_01_Thermom	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_01_Thermom.pdf	pdf	0	persistent-gstate
CNX_Chem_05_01_Waterfall	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_01_Waterfall.pdf	pdf	0	persistent-gstate
CNX_Chem_05_02_BombCalor	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_02_BombCalor.pdf	pdf	0	persistent-gstate
CNX_Chem_05_02_Calorim	/home/siggi/dev/repos/Myndir/chemistry-2e/base/Ch_05/Source_File/CNX_Chem_05_02_Calorim.pdf	pdf	0	persistent-gstate
